fp_pwr,rx_pwr,pwr_diff,rxpacc,label,frame_len
-80.1798045839,-101.179425528,-20.999620944,48,1,0
-89.516163207,-99.7730882766,-10.2569250697,50,1,0
-82.6952106062,-98.3482224244,-15.6530118182,49,1,0
-90.0861141367,-104.368822338,-14.282708201,49,1,0
-84.0889237856,-101.874667653,-17.7857438676,52,1,0
-82.4311974469,-103.433954267,-21.00275682,44,1,0
-80.8461899332,-98.1691255714,-17.3229356382,48,1,0
-75.7972820929,-97.2000254413,-21.4027433484,48,1,0
-87.093918341,-101.179425528,-14.085507187,48,1,0
-86.0097922105,-101.358522381,-15.3487301705,49,1,0
-83.7701227095,-99.7730882766,-16.0029655671,50,1,0
-82.7537294355,-99.5976097905,-16.843880355,49,1,0
-81.3069966057,-100.996557939,-19.6895613335,47,1,0
-80.8549553891,-104.189725485,-23.3347700955,48,1,0
-81.0263287553,-104.189725485,-23.1633967293,48,1,0
-82.2726935619,-99.2356453486,-16.9629517867,47,1,0
-84.1928116914,-101.179425528,-16.9866138366,48,1,0
-74.4183497801,-96.225345392,-21.806995612,47,1,0
-80.7050254738,-103.433954267,-22.728928793,44,1,0
-81.0432085626,-99.5976097905,-18.5544012279,49,1,0
-84.6618606692,-99.2356453486,-14.5737846794,47,1,0
-84.1275000341,-100.618851056,-16.4913510219,45,1,0
-83.2595307345,-100.996557939,-17.7370272047,47,1,0
-80.0727336457,-99.7730882766,-19.7003546309,50,1,0
-79.390847506,-99.5976097905,-20.2067622845,49,1,0
-80.3316502199,-104.189725485,-23.8580752648,48,1,0
-80.8714501658,-99.4185129374,-18.5470627717,48,1,0
-78.5386308467,-101.179425528,-22.6407946813,48,1,0
-90.1486134974,-100.996557939,-10.8479444418,47,1,0
-89.4069114922,-99.9450917119,-10.5381802197,51,1,0
-82.0762830206,-98.1691255714,-16.0928425507,48,1,0
-79.4061577262,-99.4185129374,-20.0123552113,48,1,0
-85.1097797106,-99.7730882766,-14.663308566,50,1,0
-79.0046467316,-101.179425528,-22.1747787964,48,1,0
-87.7185511315,-99.5976097905,-11.879058659,49,1,0
-83.457606752,-101.179425528,-17.721818776,48,1,0
-82.9358649655,-100.996557939,-18.0606929737,47,1,0
-79.3453687888,-99.2356453486,-19.8902765599,47,1,0
-77.4556084259,-98.1691255714,-20.7135171455,48,1,0
-84.0766613764,-100.996557939,-16.9198965628,47,1,0
-74.142603655,-97.0171578525,-22.8745541974,47,1,0
-83.6850675778,-101.874667653,-18.1896000754,52,1,0
-81.2828655725,-101.706004302,-20.42313873,51,1,0
-80.9404620507,-99.0488448236,-18.1083827729,46,1,0
-75.4538004985,-97.7266042157,-22.2728037172,51,1,0
